0.435396194458,1007.07205597,36.9942442787,17.05885,27.8967309995,[1.03944855 0.93529693 0.99971528],[4215.05, 414229.01, 157148.79],[4215.05, 414229.01, 157888.89]
6.08890104294,1007.07635625,37.1270974815,17.05885,28.0289918356,[1.17455323 0.88085367 0.85455342],[4215.05, 414229.01, 157148.79],[4215.05, 410666.67, 155683.85]
11.7455179691,1007.03518236,37.0125074517,17.05885,27.8637484336,[1.17016655 0.93720346 0.94997958],[4215.05, 414229.01, 157148.79],[4273.97, 414229.01, 158634.15]
17.4004650116,1007.00012485,36.8737454014,14.9196,28.2333004972,[1.15626374 0.87669659 0.87343702],[4215.05, 414229.01, 157148.79],[4333.01, 414229.01, 159384.62]
23.0567359924,1007.00603348,36.5898601617,14.9196,28.0423660558,[1.16777356 1.12096689 1.19151071],[4215.05, 414229.01, 157148.79],[4392.16, 417846.15, 160901.41]
28.7160630226,1007.05840024,36.4872233417,17.05885,28.3957973453,[1.1713581  0.98462067 1.01790881],[4215.05, 414229.01, 157148.79],[4392.16, 410666.67, 158634.15]
34.3797249794,1007.05581469,36.6502701357,14.9196,28.0359622526,[1.17929947 0.92852219 0.92601381],[4215.05, 414229.01, 157148.79],[4392.16, 410666.67, 157148.79]
40.0517830849,1007.04314862,36.6324109164,14.9196,28.1573851885,[1.1021481  0.87077396 0.93002849],[4215.05, 414229.01, 157148.79],[4451.42, 407157.89, 156413.79]
45.7035360336,1007.03970165,36.8372583192,14.9196,28.2923943189,[1.03653155 0.29082996 0.1886057 ],[4215.05, 414229.01, 157148.79],[4451.42, 410666.67, 154958.9]
51.370980978,1007.07784896,37.4523720033,14.9196,27.5858920327,[1.11996744 0.9756536  1.04097892],[4215.05, 414229.01, 157148.79],[4510.81, 403701.49, 152108.11]
57.0495159626,1007.15176441,37.4827886267,14.9196,27.4720811133,[1.18650986 0.73702869 0.37108438],[4215.05, 414229.01, 157148.79],[4510.81, 400296.3, 150711.41]
62.722743988,1007.11418041,37.5126240831,14.9196,27.5266035322,[1.122828   0.92303124 0.97599349],[4215.05, 414229.01, 157148.79],[4510.81, 400296.3, 148651.16]
68.374502182,1007.09485001,37.3800431556,17.05885,27.6379193941,[1.07059664 0.61697318 0.64480986],[4215.05, 414229.01, 157148.79],[4570.3, 403701.49, 149333.33]
74.0460040569,1007.03131104,36.9640224841,14.9196,27.9718675616,[1.08397873 0.50537856 0.40346809],[4215.05, 414229.01, 157148.79],[4570.3, 400296.3, 147300.33]
79.7171840668,1007.0195017,36.4807075628,12.78035,28.3951446823,[1.22283534 0.8943264  0.77692401],[4215.05, 414229.01, 157148.79],[4570.3, 396941.18, 144000.0]
85.3932271004,1007.03950159,36.0753832897,14.9196,28.5403134785,[1.17470771 0.73590901 0.46795835],[4215.05, 414229.01, 157148.79],[4629.92, 400296.3, 145967.21]
91.0697460175,1007.0247731,35.7549866687,14.9196,28.7542436479,[1.14520109 0.94017284 0.98170252],[4215.05, 414229.01, 157148.79],[4629.92, 400296.3, 147300.33]
96.7423541546,1006.97447764,35.4761098929,14.9196,29.0465177084,[1.20197963 0.91875766 0.87632211],[4215.05, 414229.01, 157148.79],[4629.92, 403701.49, 148651.16]
102.419708014,1006.93580828,35.3671380983,14.9196,29.3026299011,[1.10472712 0.76712371 0.78205347],[4215.05, 414229.01, 157148.79],[4689.66, 403701.49, 148651.16]
108.073744059,1006.99462314,35.2154267732,12.78035,29.4373102354,[1.19043915 0.87533332 0.81128658],[4215.05, 414229.01, 157148.79],[4689.66, 396941.18, 146631.58]
113.750060081,1007.04680522,34.9973558782,14.9196,29.8027317359,[1.14567783 0.96549235 1.01350916],[4215.05, 414229.01, 157148.79],[4689.66, 396941.18, 144000.0]
119.427870035,1007.05283239,34.7243898924,14.9196,29.7960003895,[1.1951031  0.93705607 0.93461538],[4215.05, 414229.01, 157148.79],[4749.51, 396941.18, 142070.74]
125.079641104,1007.04400279,34.5238575394,14.9196,29.7872608495,[1.23295353 0.8719284  0.68381711],[4215.05, 414229.01, 157148.79],[4749.51, 396941.18, 144651.47]
